combinations,avg detectTime,avg computeTime,feature extraction time
FAST-ORB-MAT_BF,0.0017186570000000002,0.005073871,0.006792528
ORB-BRIEF-MAT_BF,0.007934156,0.0013939134000000002,0.0093280694
FAST-BRIEF-MAT_BF,0.001652352,0.008186039,0.009838391
SHITOMASI-BRIEF-MAT_BF,0.008351275,0.0025516249999999996,0.0109029
SHITOMASI-ORB-MAT_BF,0.009532331,0.0032524529999999998,0.012784784
HARRIS-BRIEF-MAT_BF,0.011912451,0.0013847717000000002,0.0132972227
HARRIS-ORB-MAT_BF,0.012135683999999999,0.002785233,0.014920916999999999
ORB-ORB-MAT_BF,0.0074799440000000005,0.008754712000000001,0.016234656
ORB-FREAK-MAT_BF,0.007742710999999999,0.020134080000000002,0.027876791
SHITOMASI-FREAK-MAT_BF,0.008556600000000001,0.023505279999999996,0.03206188
FAST-FREAK-MAT_BF,0.001832862,0.030659469999999994,0.03249233199999999
HARRIS-FREAK-MAT_BF,0.012337319999999999,0.020689680000000002,0.033027
SIFT-BRIEF-MAT_BF,0.07083978,0.0033836370000000005,0.074223417
AKAZE-AKAZE-MAT_BF,0.052216649999999996,0.04418821,0.09640486
SIFT-FREAK-MAT_BF,0.07010042000000001,0.026307919999999995,0.09640834000000001
SIFT-SIFT-MAT_BF,0.07044189,0.053618299999999994,0.12406018999999999
ORB-BRISK-MAT_BF,0.008951978,0.12484899999999999,0.133800978
SHITOMASI-BRISK-MAT_BF,0.009024782,0.127747,0.136771782
HARRIS-BRISK-MAT_BF,0.013974951999999999,0.12613570000000002,0.140110652
FAST-BRISK-MAT_BF,0.001675265,0.14309260000000004,0.14476786500000005
BRISK-BRIEF-MAT_BF,0.15654479999999998,0.005793742,0.16233854199999997
BRISK-ORB-MAT_BF,0.1576519,0.010168874999999999,0.167820775
BRISK-FREAK-MAT_BF,0.157144,0.02944704,0.18659104
SIFT-BRISK-MAT_BF,0.07291247000000001,0.14358949999999998,0.21650197
BRISK-BRISK-MAT_BF,0.1564187,0.13402920000000001,0.2904479
